id,time,Lon,Lat,pH,DO,NH3N,CODMn
2156,2021-02-18 00:00,115.091033,37.319989,8.780000,15.113333,0.343333,6.686667
2156,2021-02-19 00:00,115.091033,37.319989,8.862500,16.890000,0.240000,6.530000
2156,2021-02-20 00:00,115.091033,37.319989,8.657500,15.348333,0.295000,6.704167
2156,2021-02-21 00:00,115.091033,37.319989,8.467500,13.230000,0.410833,6.847500
2156,2021-02-22 00:00,115.091033,37.319989,8.412500,12.469167,0.457500,6.675833
2156,2021-02-23 00:00,115.091033,37.319989,8.417500,12.430833,0.458333,6.195000
2156,2021-02-24 00:00,115.091033,37.319989,8.465000,12.127500,0.473333,5.733333
2156,2021-02-25 00:00,115.091033,37.319989,8.490000,11.954167,0.495833,5.798333
2156,2021-02-26 00:00,115.091033,37.319989,8.560000,13.785000,0.599167,6.319167
2156,2021-02-27 00:00,115.091033,37.319989,8.575000,14.377500,0.646667,6.537500
2156,2021-02-28 00:00,115.091033,37.319989,8.480000,12.210000,0.449167,5.794167
2156,2021-03-01 00:00,115.091033,37.319989,8.453333,10.572500,0.261667,4.975000
2156,2021-03-02 00:00,115.091033,37.319989,8.487500,10.394167,0.214167,4.820000
2156,2021-03-03 00:00,115.091033,37.319989,8.500000,10.390833,0.210000,4.951667
2156,2021-03-04 00:00,115.091033,37.319989,8.505833,10.425000,0.215833,5.062500
2156,2021-03-05 00:00,115.091033,37.319989,8.504167,10.424167,0.196667,5.000833
2156,2021-03-06 00:00,115.091033,37.319989,8.505833,10.387500,0.185833,4.965000
2156,2021-03-07 00:00,115.091033,37.319989,8.527500,10.680000,0.254167,5.165000
2156,2021-03-08 00:00,115.091033,37.319989,8.639167,12.338333,0.282500,5.476667
2156,2021-03-09 00:00,115.091033,37.319989,8.383333,13.660000,0.229167,5.563333
2156,2021-03-10 00:00,115.091033,37.319989,8.395000,13.667500,0.176667,5.302500
2156,2021-03-11 00:00,115.091033,37.319989,8.564167,13.390000,0.165833,5.169167
2156,2021-03-12 00:00,115.091033,37.319989,8.565833,13.441667,0.164167,5.155000
2156,2021-03-13 00:00,115.091033,37.319989,8.581667,13.602500,0.171667,5.305000
2156,2021-03-14 00:00,115.091033,37.319989,8.613333,13.949167,0.180000,5.424167
2156,2021-03-15 00:00,115.091033,37.319989,8.612500,13.423333,0.197500,5.449167
2156,2021-03-16 00:00,115.091033,37.319989,8.582500,12.213333,0.192500,5.388333
2156,2021-03-17 00:00,115.091033,37.319989,8.593333,11.975000,0.203333,5.446667
2156,2021-03-18 00:00,115.091033,37.319989,8.615833,12.447500,0.196667,5.442500
2156,2021-03-19 00:00,115.091033,37.319989,8.596667,12.496667,0.185833,5.397500
2156,2021-03-20 00:00,115.091033,37.319989,8.457500,10.956667,0.330000,5.754167
2156,2021-03-21 00:00,115.091033,37.319989,8.335000,9.245833,0.447500,6.659167
2156,2021-03-22 00:00,115.091033,37.319989,8.356667,9.140833,0.325833,7.130000
2156,2021-03-23 00:00,115.091033,37.319989,8.436667,10.195833,0.183333,6.710000
2156,2021-03-24 00:00,115.091033,37.319989,8.475833,10.872500,0.144167,5.990000
2156,2021-03-25 00:00,115.091033,37.319989,8.520833,11.310000,0.140000,5.643333
2156,2021-03-26 00:00,115.091033,37.319989,8.567500,11.618333,0.128333,5.347500
2156,2021-03-27 00:00,115.091033,37.319989,8.568333,11.420833,0.114167,5.055000
2156,2021-03-28 00:00,115.091033,37.319989,8.530833,10.485833,0.098333,4.904167
2156,2021-03-29 00:00,115.091033,37.319989,8.457500,9.117500,0.136667,4.960833
2156,2021-03-30 00:00,115.091033,37.319989,8.414167,8.547500,0.170000,5.063333
2156,2021-03-31 00:00,115.091033,37.319989,8.433333,8.921667,0.140833,4.975000
2156,2021-04-01 00:00,115.091033,37.319989,8.391667,9.180000,0.096667,4.865000
2156,2021-04-02 00:00,115.091033,37.319989,8.297500,9.331667,0.045000,4.665000
2156,2021-04-03 00:00,115.091033,37.319989,8.248333,9.049167,0.025833,4.510833
2156,2021-04-04 00:00,115.091033,37.319989,8.240000,9.026667,0.024167,4.466667
2156,2021-04-05 00:00,115.091033,37.319989,8.275000,9.659167,0.020000,4.560833
2156,2021-04-06 00:00,115.091033,37.319989,8.270833,9.589167,0.020000,4.552500
2156,2021-04-07 00:00,115.091033,37.319989,8.267500,9.514167,0.020000,4.653333
2156,2021-04-08 00:00,115.091033,37.319989,8.326667,10.255000,0.025833,4.875000
2156,2021-04-09 00:00,115.091033,37.319989,8.342500,10.341667,0.024167,5.002500
2156,2021-04-10 00:00,115.091033,37.319989,8.289167,10.584167,0.020000,5.069167
2156,2021-04-11 00:00,115.091033,37.319989,8.190000,11.250833,0.025833,5.270833
2156,2021-04-12 00:00,115.091033,37.319989,8.163333,11.830000,0.024167,5.446667
2156,2021-04-13 00:00,115.091033,37.319989,8.162500,10.534167,0.025833,5.742500
2156,2021-04-14 00:00,115.091033,37.319989,8.167500,9.797500,0.047500,6.157500
2156,2021-04-15 00:00,115.091033,37.319989,8.215000,10.725000,0.036667,6.261667
2156,2021-04-16 00:00,115.091033,37.319989,8.292500,10.377500,0.020000,6.173333
2156,2021-04-17 00:00,115.091033,37.319989,8.330000,8.955833,0.020000,6.151667
2156,2021-04-18 00:00,115.091033,37.319989,8.324167,8.190833,0.020000,6.165833
2156,2021-04-19 00:00,115.091033,37.319989,8.302500,7.941667,0.020000,6.135000
2156,2021-04-20 00:00,115.091033,37.319989,8.272500,7.949167,0.020000,6.016667
2156,2021-04-21 00:00,115.091033,37.319989,8.213333,7.862500,0.025833,5.985000
2156,2021-04-22 00:00,115.091033,37.319989,8.139167,7.365000,0.035833,6.150000
2156,2021-04-23 00:00,115.091033,37.319989,8.133333,7.399167,0.028333,6.314167
2156,2021-04-24 00:00,115.091033,37.319989,8.208333,8.477500,0.020000,6.348333
2156,2021-04-25 00:00,115.091033,37.319989,8.314375,10.759375,0.020000,6.348125
2156,2021-04-26 00:00,115.091033,37.319989,8.305625,13.025625,0.020000,6.429375
2156,2021-04-27 00:00,115.091033,37.319989,8.295833,13.490000,0.020000,6.505000
2156,2021-04-28 00:00,115.091033,37.319989,8.288333,11.795833,0.020000,6.518333
2156,2021-04-29 00:00,115.091033,37.319989,8.245000,9.114167,0.020000,6.440000
2156,2021-04-30 00:00,115.091033,37.319989,8.185000,6.597500,0.020000,6.185833
2156,2021-05-01 00:00,115.091033,37.319989,8.160000,5.759167,0.037500,5.923333
2156,2021-05-02 00:00,115.091033,37.319989,8.177500,6.016667,0.044167,5.775833
